,,,,MARKETING NAME:,Polished,,Honed,,Satin,,Silk,Organic Matte,,Vintage,Grained,Patinated,20mm,
situ,Reference Name,Completely Random,Photos,Notes,Polished,Unglazed Polished,Honed,Structured Honed,Satin,Unglazed Satin,Structured matt,Structured matt,Structured matt,Structured matt,Structured matt,Structured Brushed,Structured matt,
,Halila Limestone Viencut  Grey,Lithoform Vista - Veincut,,Random 8 faces,,,,"298x598
598x1198
898x1798
1198x2798",,,,,"298x598
598x1198
898x1798
1198x2798
2 inch Hexagon","298x598
898x1798
598x1198",,,"60x120
Vintage
",
check with Origo,Halila Limestone Veincut Color 4,Lithoform Twilight - Veincut,,Random 8 faces,,,,"298x598
598x1198
898x1798
1198x2798",,,,,"298x598
598x1198
898x1798
1198x2798
2 inch Hexagon","298x598
898x1798
598x1198",,,"60x120
Vintage
",
,LIMESTONES,8,,,,,40,,,,,,48,24,,,12,124
,Unicolor White (Unglazed),Monoforma Moonlight,,,,"298x598
598x598
598x1198
1198x1198
1198x2798","298x598
598x598
598x1198
1198x1198
1198x2798

*Only wall",,,,"298x598
598x598
598x1198
1198x1198
1198x2798
4 inch Hexagon",,,,,,,
,Unicolor Ivory (Unglazed),Monoforma Oasis,,,,"298x598
598x598
598x1198
1198x1198
1198x2798",,,,,"298x598
598x598
598x1198
1198x1198
1198x2798
4 inch Hexagon",,,,,,,
,Unicolor Light Grey (Unglazed),Monoforma Storm,,,,"298x598
598x598
598x1198
1198x1198
1198x2798",,,,,"298x598
598x598
598x1198
1198x1198
1198x2798
4 inch Hexagon",,,,,,,
,Unicolor Black (Unglazed),Monoforma Silhouette,,,,"298x598
598x598
598x1198
1198x1198
1198x2798",,,,,"298x598
598x598
598x1198
1198x1198
1198x2798
4 inch Hexagon",,,,,,,
,UNICOLOR UNGLAZED,4,,,20,,5,,,,24,,,,,,38,87
,K color / Blue Grey,Architeq Storm,,Random 10 faces,,,,598x1198,,,,,"298x598
598x598
598x1198
7.5x7.5 square",,,,,
,I color / Green,Architeq Moss,,Random 10 faces,,,,598x1198,,,,,"298x598
598x598
598x1198
7.5x7.5 square",,,,,
,L color / Brown,Architeq Cocoa,,Random 10 faces,,,,"598x1198
1198x1198",,,,,"298x598
598x598
598x1198
898x898
1198x1198
7.5x7.5 square",,,,,
,A color / Anthracite,Architeq Graphite,,Random 10 faces,,,,"598x1198
1198x1198",,,,,"298x598
598x598
598x1198
898x898
1198x1198
7.5x7.5 square",,,,,
,H color / Warm Taupe ,Architeq Earth,,Random 10 faces,,,,"598x1198
1198x1198
1198x2798",,,,,"298x598
598x598
598x1198
898x898
1198x1198
7.5x7.5 square",,,,,
,G color / Sand,Architeq Clay,,Random 10 faces,,,,"598x1198
1198x1198
1198x2798",,,,,"298x598
598x598
598x1198
898x898
1198x1198
7.5x7.5 square",,,,,
,F color / Warm Light,Architeq Sand,,Random 10 faces,,,,"598x1198
1198x1198
1198x2798",,,,,"298x598
598x598
598x1198
898x898
1198x1198
7.5x7.5 square",,,,,
,D color / Lightest,Architeq Bone,,Random 10 faces,,,,"598x1198
1198x1198
1198x2798",,,,,"298x598
598x598
598x1198
898x898
1198x1198
7.5x7.5 square",,,,,
,C color / Grey,Architeq Mist,,Random 10 faces,,,,"598x1198
1198x1198
1198x2798",,,,,"298x598
598x598
598x1198
898x898
1198x1198
7.5x7.5 square",,,,,
,B color / Dark Grey,Architeq Smoke,,Random 10 faces,,,,"598x1198
1198x1198
1198x2798",,,,,"298x598
598x598
598x1198
898x898
1198x1198
7.5x7.5 square",,,,,
,Microcement,10,,,0,,24,,,,,0,56,,,,,80
,Microcement,10,,,149,,262,,,,24,0,158,74,9,0,76,752
